date,home_team,home_team_score,visit_team,visit_team_score
2004-11-01,Phoenix,99,Los Angeles,103
2004-11-05,Utah,91,Phoenix,80
2004-11-07,Phoenix,96,Memphis,88
2004-11-10,Golden State,96,Phoenix,99
2004-11-12,Phoenix,94,Atlanta,99
2004-11-14,Houston,90,Phoenix,85
2004-11-15,Phoenix,91,Detroit,100
2004-11-18,Phoenix,95,Chicago,82
2004-11-20,Phoenix,96,Orlando,89
2004-11-22,Phoenix,100,Miami,98
2004-11-25,Denver,110,Phoenix,80
2004-11-26,Phoenix,121,Dallas,90
2004-11-28,Phoenix,83,Golden State,92
2004-12-01,Phoenix,82,Indiana,89
2004-12-03,Phoenix,79,Minnesota,92
2004-12-05,Boston,106,Phoenix,110
2004-12-06,Brooklyn,99,Phoenix,88
2004-12-08,Orlando,105,Phoenix,98
2004-12-09,Miami,92,Phoenix,72
2004-12-11,Phoenix,101,New Orleans,111
2004-12-13,LA,106,Phoenix,91
2004-12-14,Sacramento,107,Phoenix,102
2004-12-16,Phoenix,92,Oklahoma City,91 OT
2004-12-18,Portland,101,Phoenix,94
2004-12-20,Phoenix,102,Houston,87
2004-12-21,Los Angeles,107,Phoenix,101
2004-12-23,Oklahoma City,116,Phoenix,90
2004-12-26,Phoenix,102,Boston,104
2004-12-28,Phoenix,100,Philadelphia,92
2004-12-29,LA,105,Phoenix,113
2004-01-02,Detroit,93,Phoenix,81
2004-01-04,Toronto,83,Phoenix,73
2004-01-05,Chicago,87,Phoenix,82
2004-01-07,Milwaukee,95,Phoenix,87
2004-01-09,Phoenix,93,Sacramento,113
2004-01-13,Phoenix,92,Denver,105
2004-01-15,Portland,96,Phoenix,105
2004-01-16,Phoenix,104,Golden State,93
2004-01-18,Phoenix,96,Portland,92
2004-01-19,Los Angeles,85,Phoenix,88
2004-01-21,Denver,97,Phoenix,92
2004-01-23,Phoenix,84,San Antonio,86
2004-01-25,Minnesota,99,Phoenix,95
2004-01-27,Atlanta,85,Phoenix,89
2004-01-28,Indiana,101,Phoenix,79
2004-01-30,Washington,105,Phoenix,100
2004-01-31,NY Knicks,110,Phoenix,105
2004-02-02,Phoenix,99,Houston,79
2004-02-04,Phoenix,97,Portland,101
2004-02-06,Phoenix,105,Oklahoma City,107
2004-02-07,Phoenix,92,Utah,96
2004-02-10,Phoenix,94,Toronto,101
2004-02-11,Golden State,110,Phoenix,99
2004-02-17,Minnesota,110,Phoenix,95
2004-02-20,Memphis,97,Phoenix,92
2004-02-22,Phoenix,92,Los Angeles,104
2004-02-25,Phoenix,113,NY Knicks,95
2004-02-27,Oklahoma City,99,Phoenix,104
2004-02-29,Sacramento,108,Phoenix,94
2004-03-03,Phoenix,87,Brooklyn,74
2004-03-06,Phoenix,86,San Antonio,107
2004-03-08,Dallas,103,Phoenix,90
2004-03-12,Phoenix,90,Utah,99
2004-03-13,Phoenix,90,Dallas,113
2004-03-15,Houston,97 OT,Phoenix,99
2004-03-16,Phoenix,98,LA,110
2004-03-19,Phoenix,80,Minnesota,93
2004-03-20,Phoenix,123,Milwaukee,111
2004-03-23,Cleveland,86,Phoenix,103
2004-03-24,Philadelphia,99,Phoenix,94
2004-03-26,New Orleans,94,Phoenix,99
2004-03-27,San Antonio,105,Phoenix,76
2004-03-29,Phoenix,101,Washington,95
2004-04-02,Memphis,109,Phoenix,99
2004-04-03,Dallas,124,Phoenix,103
2004-04-07,Phoenix,96,Denver,111
2004-04-09,Phoenix,101,Sacramento,96
2004-04-11,Phoenix,89,Memphis,83
2004-04-13,Phoenix,96,LA,98
2004-04-14,Utah,84,Phoenix,89
2005-11-03,Phoenix,112,Atlanta,82
2005-11-05,Philadelphia,98,Phoenix,108
2005-11-06,Brooklyn,80,Phoenix,112
2005-11-09,Chicago,74,Phoenix,94
2005-11-10,Cleveland,114,Phoenix,109 OT
2005-11-13,Phoenix,111,Sacramento,113
2005-11-16,Dallas,101,Phoenix,107
2005-11-17,New Orleans,84,Phoenix,95
2005-11-19,Phoenix,107,Los Angeles,102
2005-11-21,LA,111,Phoenix,122
2005-11-22,Phoenix,100,Chicago,82
2005-11-24,Phoenix,111,Milwaukee,104
2005-11-26,Phoenix,95,New Orleans,86
2005-11-30,Utah,102,Phoenix,115
2005-12-01,Phoenix,120,Cleveland,101
2005-12-03,Phoenix,93,Minnesota,97
2005-12-05,Portland,99,Phoenix,121
2005-12-07,Phoenix,118,Golden State,104
2005-12-08,Los Angeles,110,Phoenix,113
2005-12-10,Phoenix,115,Charlotte,106
2005-12-13,Phoenix,121,Orlando,100
2005-12-15,Phoenix,108,Utah,86
2005-12-17,Oklahoma City,110,Phoenix,112
2005-12-18,Phoenix,110,Washington,96
2005-12-20,Denver,105,Phoenix,107
2005-12-23,Phoenix,109,Memphis,102
2005-12-26,Phoenix,106,Toronto,94
2005-12-28,San Antonio,115,Phoenix,94
2005-12-29,New Orleans,96,Phoenix,107
2005-01-02,Phoenix,117,Portland,98
2005-01-04,Minnesota,115,Phoenix,122
2005-01-05,Houston,98,Phoenix,108
2005-01-08,LA,91,Phoenix,108
2005-01-09,Phoenix,124,Indiana,89
2005-01-11,Phoenix,122,Miami,107
2005-01-12,Utah,115,Phoenix,108
2005-01-14,Indiana,101,Phoenix,83
2005-01-15,Washington,108,Phoenix,103
2005-01-17,Detroit,94,Phoenix,80
2005-01-19,Phoenix,79,Memphis,88
2005-01-21,Phoenix,123 OT,San Antonio,128
2005-01-23,Phoenix,113,Brooklyn,105
2005-01-25,NY Knicks,118,Phoenix,133
2005-01-26,Milwaukee,115,Phoenix,121
2005-01-28,Boston,119,Phoenix,128
2005-01-30,Toronto,105,Phoenix,123
2005-02-01,Memphis,108,Phoenix,97
2005-02-02,Minnesota,79,Phoenix,108
2005-02-05,Phoenix,114,NY Knicks,106
2005-02-08,Sacramento,123,Phoenix,125
2005-02-11,Phoenix,105,Oklahoma City,113
2005-02-13,Golden State,102 OT,Phoenix,106
2005-02-14,Phoenix,136,Utah,128
2005-02-17,Phoenix,113,Dallas,119
2005-02-23,Phoenix,118,LA,101
2005-02-26,Dallas,123,Phoenix,124
2005-02-27,Phoenix,113 OT,Boston,120
2005-03-03,Phoenix,100,Detroit,97
2005-03-05,Phoenix,129,Portland,116
2005-03-06,Oklahoma City,99,Phoenix,110
2005-03-09,Phoenix,107,San Antonio,101
2005-03-11,Phoenix,107,Houston,127
2005-03-13,Denver,101,Phoenix,106
2005-03-18,Phoenix,100,Golden State,110
2005-03-20,Memphis,91,Phoenix,97
2005-03-22,Atlanta,94,Phoenix,105
2005-03-23,Charlotte,105,Phoenix,120
2005-03-25,Miami,125,Phoenix,115
2005-03-26,Orlando,116,Phoenix,118
2005-03-28,Phoenix,123,Denver,114
2005-03-30,Phoenix,116,Philadelphia,87
2005-04-01,Phoenix,107,Minnesota,98
2005-04-03,Houston,78,Phoenix,91
2005-04-05,Phoenix,125,Los Angeles,99
2005-04-08,Golden State,127,Phoenix,119
2005-04-09,Phoenix,97,Houston,98
2005-04-11,Los Angeles,97,Phoenix,108
2005-04-12,Phoenix,99,New Orleans,85
2005-04-15,Phoenix,98,LA,91
2005-04-16,Phoenix,116,Sacramento,98
2005-04-18,Phoenix,128,Denver,114
2005-04-20,Sacramento,132,Phoenix,107
2006-11-01,Phoenix,108 2OT,Dallas,111
2006-11-03,Los Angeles,112,Phoenix,122
2006-11-05,Utah,88,Phoenix,97
2006-11-06,Phoenix,117,Sacramento,118
2006-11-10,Phoenix,104,Detroit,111
2006-11-12,Phoenix,101,Golden State,86
2006-11-16,Phoenix,103,Memphis,115
2006-11-18,Phoenix,102,Utah,94
2006-11-19,San Antonio,97,Phoenix,91
2006-11-22,Phoenix,90,Toronto,82
2006-11-23,Houston,88,Phoenix,100
2006-11-25,Phoenix,92,Brooklyn,81
2006-11-30,Phoenix,109,Indiana,91
2006-12-02,Phoenix,102,Denver,97
2006-12-04,Phoenix,112,Atlanta,94
2006-12-06,Phoenix,130,Portland,85
2006-12-07,Golden State,110,Phoenix,118
2006-12-09,Phoenix,85,NY Knicks,81
2006-12-10,LA,101,Phoenix,91
2006-12-12,Phoenix,87,New Orleans,91
2006-12-14,Dallas,102,Phoenix,96
2006-12-16,New Orleans,88,Phoenix,101
2006-12-17,Memphis,91,Phoenix,87
2006-12-20,Phoenix,111,Oklahoma City,83
2006-12-23,Phoenix,111,Washington,112
2006-12-26,Minnesota,89,Phoenix,103
2006-12-28,Washington,99,Phoenix,104
2006-12-30,Charlotte,100,Phoenix,110
2006-12-31,Chicago,98 OT,Phoenix,107
2006-01-02,NY Knicks,140,Phoenix,133 3OT
2006-01-04,Phoenix,105,Philadelphia,85
2006-01-06,Phoenix,111,Miami,93
2006-01-07,Phoenix,91,San Antonio,86
2006-01-10,Denver,139,Phoenix,137 3OT
2006-01-12,Phoenix,112,Golden State,99
2006-01-14,Phoenix,115,Cleveland,106
2006-01-17,Sacramento,119,Phoenix,90
2006-01-18,LA,102,Phoenix,112
2006-01-20,Phoenix,106,Los Angeles,93
2006-01-22,Phoenix,149 2OT,Oklahoma City,152
2006-01-24,Orlando,111,Phoenix,102
2006-01-26,Miami,98,Phoenix,107
2006-01-27,Atlanta,106,Phoenix,110
2006-01-29,Cleveland,113,Phoenix,106
2006-01-31,Philadelphia,99,Phoenix,123
2006-02-01,Boston,94,Phoenix,102
2006-02-04,Phoenix,118,Chicago,101
2006-02-06,Phoenix,101,Minnesota,103
2006-02-08,Phoenix,108,Memphis,102
2006-02-10,Phoenix,112,Sacramento,104
2006-02-15,Denver,101,Phoenix,116
2006-02-16,Phoenix,109,Houston,75
2006-02-22,Phoenix,103,Boston,94
2006-02-25,Phoenix,136,Charlotte,121
2006-02-27,Houston,94,Phoenix,111
2006-03-01,Phoenix,123,Milwaukee,110
2006-03-03,Phoenix,123,Orlando,118
2006-03-05,Dallas,107,Phoenix,115
2006-03-06,New Orleans,88,Phoenix,101
2006-03-09,Phoenix,93,San Antonio,117
2006-03-11,Phoenix,110,Minnesota,102
2006-03-12,Portland,111,Phoenix,101
2006-03-14,Oklahoma City,120,Phoenix,129
2006-03-15,Phoenix,126,LA,95
2006-03-17,San Antonio,108,Phoenix,102
2006-03-21,Utah,107,Phoenix,99
2006-03-23,Phoenix,125,Portland,108
2006-03-25,Phoenix,107,Denver,96
2006-03-27,Brooklyn,110,Phoenix,72
2006-03-28,Milwaukee,132,Phoenix,110
2006-03-30,Indiana,104,Phoenix,114
2006-03-31,Toronto,126,Phoenix,140
2006-04-02,Detroit,109,Phoenix,102
2006-04-05,Phoenix,105,LA,119
2006-04-07,Phoenix,107,Los Angeles,96
2006-04-09,Oklahoma City,116,Phoenix,114
2006-04-11,Sacramento,110,Phoenix,123
2006-04-13,Phoenix,117,Dallas,104
2006-04-14,Golden State,110,Phoenix,102
2006-04-16,Los Angeles,109,Phoenix,89
2006-04-17,Phoenix,115,New Orleans,78
2006-04-19,Portland,96,Phoenix,106
